iter	Passed	Remaining
676	70642	33703
677	70739	33596
678	70838	33489
679	70928	33378
680	71020	33268
681	71121	33162
682	71230	33060
683	71333	32955
684	71433	32848
685	71528	32740
686	71624	32632
687	71726	32527
688	71828	32421
689	71921	32312
690	72011	32202
691	72118	32099
692	72229	31997
693	72320	31887
694	72415	31779
695	72505	31668
696	72593	31558
697	72698	31453
698	72798	31348
699	72904	31244
700	73002	31138
701	73110	31035
702	73218	30933
703	73312	30824
704	73407	30716
705	73498	30606
706	73589	30497
707	73680	30388
708	73778	30281
709	73870	30172
710	73963	30063
711	74061	29957
712	74156	29849
713	74185	29715
714	74280	29608
715	74375	29500
716	74470	29393
717	74577	29291
718	74673	29183
719	74776	29079
720	74871	28972
721	74967	28865
722	75059	28757
723	75161	28652
724	75251	28543
725	75349	28437
726	75446	28331
727	75537	28222
728	75628	28114
729	75731	28010
730	75831	27905
731	75934	27801
732	76032	27695
733	76132	27590
734	76225	27482
735	76331	27379
736	76440	27277
737	76535	27171
738	76639	27067
739	76733	26960
740	76837	26856
741	76933	26750
742	77025	26642
743	77114	26533
744	77217	26430
745	77328	26328
746	77434	26226
747	77547	26125
748	77646	26020
749	77748	25916
750	77850	25812
751	77949	25706
752	78051	25602
753	78141	25494
754	78234	25387
755	78329	25280
756	78424	25174
757	78541	25075
758	78639	24969
759	78728	24861
760	78828	24756
761	78925	24651
762	79018	24544
763	79115	24438
764	79212	24333
765	79301	24225
766	79402	24120
767	79499	24015
768	79595	23909
769	79690	23803
770	79798	23701
771	79888	23594
772	79979	23486
773	80078	23382
774	80170	23275
775	80273	23171
776	80365	23064
777	80461	22959
778	80556	22853
779	80649	22747
780	80753	22644
781	80845	22537
782	80942	22432
783	81034	22325
784	81129	22220
785	81229	22115
786	81330	22011
787	81430	21907
788	81533	21804
789	81635	21700
790	81730	21594
791	81823	21489
792	81933	21387
793	82033	21283
794	82121	21175
795	82219	21071
796	82312	20965
797	82404	20859
798	82506	20755
799	82596	20649
800	82688	20543
801	82776	20436
802	82867	20329
803	82963	20225
804	83058	20119
805	83153	20014
806	83261	19912
807	83350	19806
808	83449	19702
809	83540	19595
810	83641	19492
811	83745	19389
812	83844	19285
813	83934	19179
814	84023	19072
815	84124	18969
816	84239	18868
817	84347	18766
818	84464	18666
819	84570	18564
820	84670	18460
821	84765	18355
822	84859	18250
823	84960	18146
824	85061	18043
825	85160	17939
826	85271	17837
827	85374	17734
828	85472	17630
829	85569	17526
830	85667	17422
831	85771	17319
832	85869	17215
833	85978	17113
834	86081	17010
835	86190	16908
836	86300	16806
837	86406	16703
838	86508	16600
839	86604	16496
840	86705	16392
841	86812	16290
842	86928	16189
843	87054	16090
844	87160	15987
845	87251	15882
846	87349	15778
847	87472	15678
848	87577	15576
849	87672	15471
850	87773	15368
851	87887	15266
852	87986	15162
853	88083	15058
854	88194	14956
855	88291	14852
856	88390	14748
857	88482	14643
858	88585	14540
859	88683	14436
860	88784	14333
861	88883	14229
862	88985	14126
863	89078	14021
864	89176	13917
865	89273	13813
866	89371	13709
867	89469	13605
868	89566	13501
869	89662	13397
870	89757	13293
871	89857	13190
872	89955	13086
873	90067	12984
874	90177	12882
875	90286	12780
876	90384	12676
877	90482	12572
878	90576	12468
879	90667	12363
880	90765	12260
881	90865	12156
882	90972	12054
