Year,Month,Date,Rank,Name_of_team,Members,Link
2023,january,2,#21,SAW,"{'Name_player_1': ""Christopher 'MUTiRiS' Fernandes"", 'Link_player_1': 'https://www.hltv.org/player/630/mutiris', 'Name_player_2': ""Ricardo 'roman' Oliveira"", 'Link_player_2': 'https://www.hltv.org/player/2241/roman', 'Name_player_3': ""Tiago 'JUST' Moura"", 'Link_player_3': 'https://www.hltv.org/player/8998/just', 'Name_player_4': ""João 'story' Vieira"", 'Link_player_4': 'https://www.hltv.org/player/20462/story', 'Name_player_5': ""Michel 'ewjerkz' Pinto"", 'Link_player_5': 'https://www.hltv.org/player/20464/ewjerkz'}",https://www.hltv.org/team/10567/saw
2023,january,2,#22,500,"{'Name_player_1': ""Nikolay 'niki1' Pantaleev"", 'Link_player_1': 'https://www.hltv.org/player/8917/niki1', 'Name_player_2': ""Georgi 'SHiPZ' Grigorov"", 'Link_player_2': 'https://www.hltv.org/player/11343/shipz', 'Name_player_3': ""Denislav 'dennyslaw' Dimitrov"", 'Link_player_3': 'https://www.hltv.org/player/13466/dennyslaw', 'Name_player_4': ""Ivan 'Patrick' Ivanov"", 'Link_player_4': 'https://www.hltv.org/player/14380/patrick', 'Name_player_5': ""Aleks 'Rainwaker' Petrov"", 'Link_player_5': 'https://www.hltv.org/player/17145/rainwaker'}",https://www.hltv.org/team/12000/500
2023,january,2,#23,9z,"{'Name_player_1': ""Maximiliano 'max' Gonzalez"", 'Link_player_1': 'https://www.hltv.org/player/12092/max', 'Name_player_2': ""Franco 'dgt' Garcia"", 'Link_player_2': 'https://www.hltv.org/player/14736/dgt', 'Name_player_3': ""David 'dav1deuS' Tapia Maldonado"", 'Link_player_3': 'https://www.hltv.org/player/18865/dav1deus', 'Name_player_4': ""Lucas 'nqz' Soares"", 'Link_player_4': 'https://www.hltv.org/player/19694/nqz', 'Name_player_5': ""Nicolás 'buda' Kramer"", 'Link_player_5': 'https://www.hltv.org/player/20607/buda'}",https://www.hltv.org/team/9996/9z
2023,january,2,#24,Complexity,"{'Name_player_1': ""Johnny 'JT' Theodosiou"", 'Link_player_1': 'https://www.hltv.org/player/11630/jt', 'Name_player_2': ""Ricky 'floppy' Kemery"", 'Link_player_2': 'https://www.hltv.org/player/12713/floppy', 'Name_player_3': ""Håkon 'hallzerk' Fjærli"", 'Link_player_3': 'https://www.hltv.org/player/12840/hallzerk', 'Name_player_4': ""Michael 'Grim' Wince"", 'Link_player_4': 'https://www.hltv.org/player/13578/grim', 'Name_player_5': ""Justin 'FaNg' Coakley"", 'Link_player_5': 'https://www.hltv.org/player/17372/fang'}",https://www.hltv.org/team/5005/complexity
2023,january,2,#25,Copenhagen Flames,"{'Name_player_1': ""Rasmus 'raalz' Steensborg"", 'Link_player_1': 'https://www.hltv.org/player/2898/raalz', 'Name_player_2': ""Johannes 'b0RUP' Borup"", 'Link_player_2': 'https://www.hltv.org/player/9896/b0rup', 'Name_player_3': ""Thomas 'TMB' Bundsbæk"", 'Link_player_3': 'https://www.hltv.org/player/11995/tmb', 'Name_player_4': ""Thomas 'birdfromsky' Due-Frederiksen"", 'Link_player_4': 'https://www.hltv.org/player/13718/birdfromsky', 'Name_player_5': ""Iulian 'regali' Harjău"", 'Link_player_5': 'https://www.hltv.org/player/20123/regali'}",https://www.hltv.org/team/7461/copenhagen-flames
2023,january,2,#26,paiN,"{'Name_player_1': ""Vinicios 'PKL' Coelho"", 'Link_player_1': 'https://www.hltv.org/player/6593/pkl', 'Name_player_2': ""Wesley 'hardzao' Lopes"", 'Link_player_2': 'https://www.hltv.org/player/16817/hardzao', 'Name_player_3': ""Rodrigo 'biguzera' Bittencourt"", 'Link_player_3': 'https://www.hltv.org/player/18141/biguzera', 'Name_player_4': ""Felipe 'skullz' Medeiros"", 'Link_player_4': 'https://www.hltv.org/player/18676/skullz', 'Name_player_5': ""Romeu 'zevy' Rocco"", 'Link_player_5': 'https://www.hltv.org/player/19692/zevy'}",https://www.hltv.org/team/4773/pain
2023,january,2,#27,IHC,"{'Name_player_1': ""Bat-Enkh 'kabal' Batbayar"", 'Link_player_1': 'https://www.hltv.org/player/10870/kabal', 'Name_player_2': ""Tengis 'sk0R' Batjargal"", 'Link_player_2': 'https://www.hltv.org/player/18638/sk0r', 'Name_player_3': ""Tuvshintugs 'Annihilation' Nyamdorj"", 'Link_player_3': 'https://www.hltv.org/player/18689/annihilation', 'Name_player_4': ""Garidmagnai 'bLitz' Byambasuren"", 'Link_player_4': 'https://www.hltv.org/player/20194/blitz', 'Name_player_5': ""Sodbayar 'Techno' Munkhbold"", 'Link_player_5': 'https://www.hltv.org/player/20275/techno'}",https://www.hltv.org/team/11585/ihc
2023,january,2,#28,Grayhound,"{'Name_player_1': ""Simon 'Sico' Williams"", 'Link_player_1': 'https://www.hltv.org/player/9102/sico', 'Name_player_2': ""Jay 'Liazz' Tregillgas"", 'Link_player_2': 'https://www.hltv.org/player/10588/liazz', 'Name_player_3': ""Alistair 'aliStair' Johnston"", 'Link_player_3': 'https://www.hltv.org/player/11139/alistair', 'Name_player_4': ""Joshua 'INS' Potter"", 'Link_player_4': 'https://www.hltv.org/player/11140/ins', 'Name_player_5': ""Declan 'Vexite' Portelli"", 'Link_player_5': 'https://www.hltv.org/player/17384/vexite'}",https://www.hltv.org/team/8008/grayhound
2023,january,2,#29,Evil Geniuses,"{'Name_player_1': ""Timothy 'autimatic' Ta"", 'Link_player_1': 'https://www.hltv.org/player/8735/autimatic', 'Name_player_2': ""Vincent 'Brehze' Cayonte"", 'Link_player_2': 'https://www.hltv.org/player/9136/brehze', 'Name_player_3': ""Tsvetelin 'CeRq' Dimitrov"", 'Link_player_3': 'https://www.hltv.org/player/11219/cerq', 'Name_player_4': ""Sanzhar 'neaLaN' Iskhakov"", 'Link_player_4': 'https://www.hltv.org/player/11940/nealan', 'Name_player_5': ""Jadan 'HexT' Postma"", 'Link_player_5': 'https://www.hltv.org/player/18838/hext'}",https://www.hltv.org/team/10399/evil-geniuses
2023,january,2,#30,Movistar Riders,"{'Name_player_1': ""Alejandro 'alex' Masanet"", 'Link_player_1': 'https://www.hltv.org/player/8371/alex', 'Name_player_2': ""Alejandro 'mopoz' Fernández-Quejo Cano"", 'Link_player_2': 'https://www.hltv.org/player/9254/mopoz', 'Name_player_3': ""Pere 'sausol' Solsona Saumell"", 'Link_player_3': 'https://www.hltv.org/player/18749/sausol', 'Name_player_4': ""David 'dav1g' Granado Bermudo"", 'Link_player_4': 'https://www.hltv.org/player/19509/dav1g', 'Name_player_5': ""Antonio 'MartinezSa' Martinez"", 'Link_player_5': 'https://www.hltv.org/player/21239/martinezsa'}",https://www.hltv.org/team/7718/movistar-riders
2023,january,2,#31,Imperial,"{'Name_player_1': ""Gabriel 'FalleN' Toledo"", 'Link_player_1': 'https://www.hltv.org/player/2023/fallen', 'Name_player_2': ""Fernando 'fer' Alvarenga"", 'Link_player_2': 'https://www.hltv.org/player/8564/fer', 'Name_player_3': ""Ricardo 'boltz' Prass"", 'Link_player_3': 'https://www.hltv.org/player/8568/boltz', 'Name_player_4': ""Marcelo 'chelo' Cespedes"", 'Link_player_4': 'https://www.hltv.org/player/10566/chelo', 'Name_player_5': ""Vinicius 'VINI' Figueiredo"", 'Link_player_5': 'https://www.hltv.org/player/12822/vini'}",https://www.hltv.org/team/9455/imperial
2023,january,2,#32,MIBR,"{'Name_player_1': ""Henrique 'HEN1' Teles"", 'Link_player_1': 'https://www.hltv.org/player/8565/hen1', 'Name_player_2': ""Raphael 'exit' Lacerda"", 'Link_player_2': 'https://www.hltv.org/player/11154/exit', 'Name_player_3': ""Matheus 'Tuurtle' Anhaia"", 'Link_player_3': 'https://www.hltv.org/player/14394/tuurtle', 'Name_player_4': ""Jhonatan 'JOTA' Willian"", 'Link_player_4': 'https://www.hltv.org/player/17861/jota', 'Name_player_5': ""Breno 'brnz4n' Poletto"", 'Link_player_5': 'https://www.hltv.org/player/20987/brnz4n'}",https://www.hltv.org/team/9215/mibr
